ranking,recipe_id,name,Q_Score_Bayesien,Pop_Weight,Final_Score,reviews_in_season,Saison
10,46780,the cheesecake factory pumpkin cheesecake by todd wilbur,4.7873599505266045,0.9763564544275187,4.674169787364457,157,Fall
11,46877,uncle bill s whipped shortbread cookies,4.73909923955384,0.9824753671703118,4.656048265437205,169,Fall
12,185445,best pumpkin cookies,4.707082862091183,0.9837399023100375,4.6305452349188325,172,Fall
13,82925,edna s apple crumble  aka  apple crisp,4.718157016789268,0.9806352936441937,4.626791291618557,165,Fall
14,80156,the most wonderful gingerbread cookies,4.613518811726835,0.9970262351813864,4.59979929179451,240,Fall
15,101954,utterly deadly southern pecan pie,4.827035395795797,0.9524847722789012,4.597677709746756,129,Fall
16,26110,southern buttermilk biscuits,4.608477184675586,0.9890956185416254,4.558224591511667,188,Fall
17,52035,oreo balls,4.759774214378704,0.9536532620076531,4.539174205962166,130,Fall
18,5170,pete s scratch pancakes,4.737890771602543,0.9512869501050203,4.507093662048504,128,Fall
19,76864,tsr 1993 version of cinnabon cinnamon rolls by todd wilbur,4.730879053667001,0.9524847722789012,4.506090258111037,129,Fall
20,65340,buttery bread machine rolls,4.854398941987952,0.9274790681334744,4.50235340706311,112,Fall
1,2886,best banana bread,4.775340778908801,0.9999701008628196,4.77519800033977,424,Winter
2,67256,best ever banana cake with cream cheese frosting,4.761972497826635,0.9997790771151919,4.760920469125038,344,Winter
3,32204,whatever floats your boat  brownies,4.746773220324962,0.9998363355205354,4.745996342156721,356,Winter
4,26110,southern buttermilk biscuits,4.754824371783075,0.9938615994675124,4.725637355327437,211,Winter
5,97496,soft snickerdoodle cookies,4.742708751574677,0.9963680351253159,4.725483399978101,232,Winter
6,261889,kittencal s buttery cut out sugar cookies w  icing that hardens,4.742919609878313,0.9921192876044914,4.705542024517844,201,Winter
7,89207,kittencal s chocolate frosting icing,4.82796029658334,0.972539014640636,4.6953797495632745,151,Winter
8,76864,tsr 1993 version of cinnabon cinnamon rolls by todd wilbur,4.748742219864313,0.9873327925768761,4.688588917166347,182,Winter
9,52035,oreo balls,4.791503531853976,0.975759142309997,4.675353376617156,156,Winter
10,106251,roasted cauliflower   16 roasted cloves of garlic,4.839473442875429,0.9620272092575127,4.655705130525296,138,Winter
11,32614,fudge crinkles  a great 4 ingredient cake mix cookie,4.675673746704613,0.990844896588889,4.632867470036916,195,Winter
12,5170,pete s scratch pancakes,4.6383097278459555,0.9928687888181863,4.605232961650025,205,Winter
13,77397,kittencal s 5 minute cinnamon flop brunch cake,4.6496518251625405,0.9885370766853219,4.596353222850749,186,Winter
14,43509,crumb topped banana muffins,4.795760765888296,0.9536532620076531,4.573492898197695,130,Winter
15,90674,denny s style french toast,4.795643009385194,0.9524847722789012,4.567776939725161,129,Winter
16,2496,dark chocolate cake,4.69071793935633,0.9704056076172389,4.551898992102162,148,Winter
17,80156,the most wonderful gingerbread cookies,4.625410595879344,0.9833288536563648,4.548299698936038,171,Winter
18,25885,banana banana bread,4.556735529564386,0.9958846108612673,4.537982789657939,227,Winter
19,71373,country white bread or dinner rolls  bread machine,4.766568389325894,0.9475101033538582,4.516371707213411,125,Winter
20,29679,reeses squares   5 ingredients   no bake  reese s,4.741706711834243,0.9512869501050203,4.510723716193302,128,Winter
